hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2298573078680584192,整租·马当小区 2室1厅 东,https://image1.ljcdn.com/lease-image/house/9c4dced9-0192-48c8-ac01-0a2bf18e0b04.jpg.250x182.jpg,黄浦,新天地,马当小区,62,2室1厅1卫,东,9800,新上;近地铁;随时看房;,中楼层/27层,2020-02-19,,整租,季付,9800,0,4900,1号线-黄陂南路-1165m;1号线-黄陂南路-1165m;1号线-黄陂南路-1165m;1号线-黄陂南路-1165m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,True,民水,False,https://image1.ljcdn.com/lease-image/house/9c4dced9-0192-48c8-ac01-0a2bf18e0b04.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/b3f2e39e-1d63-488b-9725-31fce2b16d98.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/bfd36d3d-aae9-4bbf-ae42-d1865bcebde0.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/e8af459d-5796-4f66-a85b-16e769c1421f.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/fa6ce26e-938c-4584-91bc-03ed0133286e.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/dedadfae-4fe5-4823-accb-3a416b97e994.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/f04e368b-b159-401c-895c-70ac0e9409d6.jpg.780x439.jpg;,
SH2403361497075433472,整租·万宜坊 1室1厅 南,https://image1.ljcdn.com/lease-image/house/dc605564-1d07-446b-af5c-ce1bbb6d1a67.jpg.250x182.jpg,黄浦,新天地,万宜坊,52,1室1厅1卫,南,8100,近地铁;精装;随时看房;,低楼层/3层,2020-01-08,精装修,整租,季付,8100,0,4050,8号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1177m;8号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1177m;8号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1177m;8号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1177m;8号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1177m;8号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1177m;8号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1177m;8号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1177m;8号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1177m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,False,民水,True,https://image1.ljcdn.com/lease-image/house/dc605564-1d07-446b-af5c-ce1bbb6d1a67.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/1c78bdde-8a6a-4592-bd12-7b241cde85f9.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/d71a1d70-9fe8-4fdb-9e9d-18fe2475e26a.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/4e658bef-05fb-4409-bdfd-056af503f763.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/644abb47-3c75-478b-b13b-d2f29278fa1a.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/e986d788-c817-4d84-84b0-8a0c1be2d45a.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/b6745e97-f44f-4f2b-9204-1d01a3a65973.jpg.780x439.jpg;,
SH2408726156703703040,整租·花园公寓(卢湾) 1室1厅 南,https://image1.ljcdn.com/lease-image/house/3407d562-d969-44c1-bbac-d95cf5092298.jpg.250x182.jpg,黄浦,新天地,花园公寓(卢湾),42,1室1厅1卫,南,7000,近地铁;精装;随时看房;,中楼层/6层,2020-01-08,精装修,整租,季付,7000,0,3500,13号线-淮海中路-1131m;13号线-淮海中路-1131m;13号线-淮海中路-1131m;13号线-淮海中路-1131m;13号线-淮海中路-1131m;13号线-淮海中路-1131m;13号线-淮海中路-1131m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,暂无数据,暂无数据,随时可看,随时入住,False,民水,False,https://image1.ljcdn.com/lease-image/house/3407d562-d969-44c1-bbac-d95cf5092298.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/2a3565e1-4a04-474f-994c-4c18d5417c67.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/9aebe666-c3c8-4841-834d-9686c5466b50.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/9d5b647e-8d9f-4b78-b555-ceef6237da5b.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/1e6acfbc-45f9-48cc-887f-322af370b9bc.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/e19e977c-142b-4a4a-87b8-db77d47a9bae.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/93c9bf56-b881-428f-9d4d-32ecfe0e0e17.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/7012fb87-fadd-44cd-916f-130812eef85b.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/097bf0dc-d6a8-401a-b872-1d75cb5f1d52.jpg.780x439.jpg;,
SH2420085530047029248,整租·马当小区 1室1厅 东,https://image1.ljcdn.com/lease-image/house/a99c24ef-5e90-4c99-910e-f604cdbe0e23.jpg.250x182.jpg,黄浦,新天地,马当小区,43,1室1厅1卫,东,7800,近地铁;精装;随时看房;,高楼层/27层,2019-12-26,精装修,整租,季付,7800,0,3900,1号线-黄陂南路-1165m;1号线-黄陂南路-1165m;1号线-黄陂南路-1165m;1号线-黄陂南路-1165m;,False,True,True,True,False,False,True,False,True,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,True,民水,True,https://image1.ljcdn.com/lease-image/house/aa84afa8-644f-47da-a96c-ef277b10e56d.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/e9e1dbda-3e40-49d3-a511-9e793d67fa3c.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/a99c24ef-5e90-4c99-910e-f604cdbe0e23.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/0edda050-1131-408d-a779-fdcd80f26182.jpg.780x439.jpg;,
SH2403363376215629824,整租·巴黎公寓 1室1厅 南,https://image1.ljcdn.com/lease-image/house/5ace6a2e-17b7-407b-86a0-2833e6a7ddf1.jpg.250x182.jpg,黄浦,新天地,巴黎公寓,40,1室1厅1卫,南,13000,近地铁;随时看房;,低楼层/3层,2019-12-07,,整租,季付,13000,0,6500,8号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1186m;8号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1186m;8号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1186m;8号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1186m;8号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1186m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,集中供暖,暂无数据,随时可看,随时入住,False,民水,True,https://image1.ljcdn.com/lease-image/house/5ace6a2e-17b7-407b-86a0-2833e6a7ddf1.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/d6a35a95-8a94-4fde-98e9-021302c24fb0.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/cc0cd202-e0f0-415f-b267-fffb5c6948a2.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/07be4198-0a82-4577-bb14-bd558a7a5338.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/49a6c763-d53a-4d75-a913-4c9b5e60d15e.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/902f1968-57a0-40e1-9b93-03c70e4bd14e.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/79e724db-3612-49c8-9485-63ed9cd7fe47.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/2e3077e4-3fa4-4afc-ac53-e8a68dc42aff.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/609ce986-4b35-45e0-839b-6a0c51a0a44c.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/114c4b08-aff6-431d-b4f4-5d3de3c3b3b0.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/dadf6d7f-2997-4e08-aab8-9fd5506a7451.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/54c1692e-38c3-48bc-95f7-79b5ff55623c.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/8b59714e-7bd4-42e9-9b73-ffe455315441.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/9cf3f799-17ae-493f-96f0-baf16f42f9ce.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/b972c8d7-c079-4a2f-b91a-fb65069add63.jpg.780x439.jpg;,
SH2400769693993943040,整租·振华里小区 1室1厅 南,https://image1.ljcdn.com/lease-image/house/358cd11e-43b5-485e-b829-09da2fb8224e.jpg.250x182.jpg,黄浦,新天地,振华里小区,52,1室1厅2卫,南,12000,近地铁;精装;双卫生间;随时看房;,高楼层/3层,2019-12-01,精装修,整租,季付,12000,0,6000,8号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-870m;8号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-870m;8号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-870m;8号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-870m;,False,True,True,True,True,False,True,False,True,False,暂无数据,民电,集中供暖,暂无数据,随时可看,随时入住,False,民水,False,https://image1.ljcdn.com/lease-image/house/e984831e672a7c0915bc34fcd4acec22.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/358cd11e-43b5-485e-b829-09da2fb8224e.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/2b447853a4d6335a2cd7966b9af5eb3a.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/69260e4fabbc1bfff1998c54aed4ab47.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/cc9357ca7783128afb162b5e5c3ca3e9.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/b4ea89a8adc86274b62d1b5509ac172c.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/16b52055cd77fd011021c910bd732a39.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/a81b526c8d2ca772c88644fb77fb8a53.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/ab53e3b88d76adffcab8a9e9cbb026d4.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/fbe7a2a5f7f93c0058ff767ddd85baef.jpeg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/b24a561b-c100-4c9b-8e75-81a5fb45136b.jpg.780x439.jpg;https://image1.ljcdn.com/lease-image/house/ba15d785-9cf0-4dd8-907f-eeb5778db365.jpg.780x439.jpg;,
SH2437456223151595520,整租·复兴苑 3室2厅 南,https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/250-182_1.png?_v=20200218110553137,黄浦,新天地,复兴苑,141,3室2厅2卫,南,16000,新上;近地铁;双卫生间;随时看房;,低楼层/32层,2020-02-19,,整租,季付,16000,0,8000,9号线-打浦桥-1135m;9号线-打浦桥-1135m;9号线-打浦桥-1135m;9号线-打浦桥-1135m;9号线-打浦桥-1135m;,False,False,True,True,True,False,True,False,True,False,暂无数据,民电,自采暖,暂无数据,随时可看,随时入住,True,民水,True,,
SH2420982371488120832,整租·永年路88号 1室0厅 东,https://image1.ljcdn.com/310000-inspection/b56187f8-7987-4c87-a982-70e832b7fae6.jpg.250x182.jpg,黄浦,新天地,永年路88号,19,1室0厅1卫,东,5500,近地铁;精装;,低楼层/3层,2020-02-15,精装修,整租,季付,5500,0,需咨询,8号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-927m;8号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-927m;8号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-927m;8号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-927m;,False,False,False,False,False,False,False,False,False,False,暂无数据,暂无数据,暂无数据,3年以内,一般下班后可看,随时入住,False,暂无数据,False,https://image1.ljcdn.com/310000-inspection/4280e929-32ea-4335-a167-d4287a9da24e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b56187f8-7987-4c87-a982-70e832b7fae6.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/15200577-dbed-4b12-9336-2aa291498ad9.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/fa4b8fc2-7c98-4e33-b575-48e75a6b7bcf.jpg.780x439.jpg;,
SH2397074992358490112,整租·花园公寓(卢湾) 1室0厅 北,https://image1.ljcdn.com/310000-inspection/15ed7a27-1d3e-4adf-89dd-27535477021f.jpg.250x182.jpg,黄浦,新天地,花园公寓(卢湾),22,1室0厅1卫,北,4500,近地铁;精装;,中楼层/4层,2020-02-23,精装修,整租,季付,4500,0,需咨询,13号线-淮海中路-1131m;13号线-淮海中路-1131m;13号线-淮海中路-1131m;13号线-淮海中路-1131m;13号线-淮海中路-1131m;13号线-淮海中路-1131m;13号线-淮海中路-1131m;,True,True,True,True,True,True,True,True,True,True,暂无数据,民电,暂无数据,1年以内,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/15ed7a27-1d3e-4adf-89dd-27535477021f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/76fcb387-27db-49aa-b886-253a6bd92aa8.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/13b35284-75ae-49d2-946c-1a019bde904f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a88e9534-6b22-4d8b-8891-9ddf20e82102.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5a773660-c411-4c09-b735-470d86e1d579.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e97c8fdb-d614-4a8a-b7e3-8d6259bb37ca.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/74eac1a6-de85-4f5e-b633-b2647d592b5f.png.780x439.jpg;,【装修描述】里面业主重新装修过，看着很舒服的，很有居家的感觉，里面的材质都是业主亲自挑选的，家具配置方面特.别.温馨。【交通出行】最.近的是10、13号线新天地站，走路三五.分.钟能到，旁.边还有9、13号马当路站，1号线黄陂南路，8、10号线老西门站，两公里之内还有南北高架，延安高架，本身就是市中.心的位置，各路公交路线，交通十分便利。【周边配套】周.边距离新天地时尚南里北里很.近，走路三五.分.钟就能到，旁.边还有香港广场，凯德晶粹广场，中海环宇荟商场，距离新天地地铁站过一个十字路口，卢湾一.小，兴业中.学，瑞金医院复兴公园都很.近，旁.边的工农建商也都很.近。【小区介绍】小区里面还有一个小花园，绿化很好，新式里弄的房子，环境看着特.别.舒适，位置也特.别.好，离新天地时尚时尚一百来米。
SH2428066199260119040,整租·健乐小区 1室1厅 南,https://image1.ljcdn.com/310000-inspection/ef0e69c3-9980-4d50-ae13-66f0b7bb2958.jpg.250x182.jpg,黄浦,新天地,健乐小区,32,1室1厅1卫,南,4950,近地铁;随时看房;,低楼层/6层,2020-02-25,,整租,季付,4950,0,需咨询,9号线-打浦桥-1159m;9号线-打浦桥-1159m;9号线-打浦桥-1159m;9号线-打浦桥-1159m;9号线-打浦桥-1159m;,True,True,True,True,True,False,True,True,True,True,暂无数据,民电,自采暖,2年以内,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/ef0e69c3-9980-4d50-ae13-66f0b7bb2958.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9a6dc2b5-fb0b-41d0-83d7-d30cabb0e039.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/0abe8e33-63b9-4c1b-ab3f-271b5ae00909.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/61ac56b7-c3ad-4728-ba5e-8bff41d99223.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/004a5a72-9db0-4095-af2d-14f17091e20a.jpg.780x439.jpg;,【房源亮点】位于新天地板块 、交通生活都很方便、很适合居住， 价格合适。【交通出行】地铁9-10-13号线、马当路站、新天地站、多路公交车站、出行很方便、400米到南北高架【周边配套】复兴广场河星天地时尚，太平湖，出门左边是913号线，环宇荟，凯德精粹。
SH2424503414584254464,整租·巴士小区 1室1厅 东,https://image1.ljcdn.com/310000-inspection/f0dbb5a2-8daf-4f11-be33-fed25ece7353.jpg.250x182.jpg,黄浦,新天地,巴士小区,44,1室1厅1卫,东,5500,近地铁;随时看房;,中楼层/7层,2020-02-07,,整租,季付,5500,0,需咨询,1号线-黄陂南路-1183m;1号线-黄陂南路-1183m;1号线-黄陂南路-1183m;1号线-黄陂南路-1183m;,True,True,True,True,True,False,True,False,True,True,暂无数据,民电,自采暖,2年以内,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/f0dbb5a2-8daf-4f11-be33-fed25ece7353.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f75cf8db-095a-47d3-865b-e68a0dee6add.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/400d8e3d-9616-4563-a662-3b375a32c940.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ed42e674-e5c1-4f4d-85fb-5c6cf7108717.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d5793faa-313e-4d53-8b53-a86f023f202c.jpg.780x439.jpg;,【户型介绍】朝东一室户，一室一厅一厨一卫，阳台看淡水湾花园，卫生间窗户朝过道【装修描述】之前自住的，简单装修，大概两年后重新装修自住【交通出行】9/13号马当路站，10/13号新天地站，500米内，多条公交线路，交通便利【周边配套】凯德晶萃广场，中海环宇荟一个路口的距离，新天地时尚步行可达
SH2436944809425117184,整租·梨园坊 1室0厅 东南,https://image1.ljcdn.com/310000-inspection/c81449a8-abf0-4675-a5f2-918fb4ec5132.jpg.250x182.jpg,黄浦,新天地,梨园坊,39,1室0厅1卫,东南,5000,近地铁;随时看房;,中楼层/5层,2020-02-13,,整租,需咨询,5000,0,需咨询,10号线(新江湾城-虹桥火车站)，10号线(新江湾城-838m;10号线(新江湾城-虹桥火车站)，10号线(新江湾城-838m;10号线(新江湾城-虹桥火车站)，10号线(新江湾城-838m;10号线(新江湾城-虹桥火车站)，10号线(新江湾城-838m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,一般下班后可看,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/c81449a8-abf0-4675-a5f2-918fb4ec5132.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/6815f318-2a83-48f0-93b3-e4216f22e67a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/d094d1a4-8168-4f5c-a18d-eb438d03434d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/6d7a9a5d-6cf0-4e69-b208-988ccc7681f7.jpg.780x439.jpg;,【户型介绍】一居室，带阳台，地理位置优越，采光好，居室面积较大，活动空间充足【交通出行】距离陆家浜站8/9号线240米左右，老西门站8/10号线600米，交通十分便利，四通八达！【周边配套】处在黄埔区老西门板块，向西大约1.2公里可以到达凯德晶萃和中海环宇荟，500米到有世纪华联超市，新邻生活站，到新天地也约1.2公里！
SH2459320393559703552,整租·建德坊 2室2厅 南,https://image1.ljcdn.com/110000-inspection/bf257847f4227017980c5c050b63851e.jpg.250x182.jpg,黄浦,新天地,建德坊,67,2室2厅1卫,南,10000,近地铁;精装;,低楼层/6层,2020-02-24,精装修,整租,季付,10000,0,需咨询,1号线-黄陂南路-1178m;1号线-黄陂南路-1178m;1号线-黄陂南路-1178m;1号线-黄陂南路-1178m;1号线-黄陂南路-1178m;1号线-黄陂南路-1178m;,True,True,True,True,True,True,True,True,True,True,暂无数据,民电,自采暖,1年以内,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/110000-inspection/aa29b730d370fcd3f46aa8d61cb34a4b.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/443167932ba1c498fe3af3c1a261d3bd.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/c3c9b9b8008ee6f7759e209edc3c222a.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/bf257847f4227017980c5c050b63851e.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/dae780d4f4fa716d3147139c240f75c0.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/0161e8cecb4f9dd9ff63c4048d6270ad.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/ef6e3ce528e84828e7517d32fba2f293.jpg.780x439.jpg;,【房源亮点】品质小区，入则安静，出则繁华。新天地板块少数出租的电梯两房。两房朝南，南北通透。室内明亮、温馨、质感，家具家电全配，可直接拎包入住。【交通出行】小区出门即9/13号马当路地铁站和10/13新天地地铁站。小区近复兴东路隧道、重庆南路和内环高架，可开车出行，便捷生活。【周边配套】新天地品质小区，永业集团打造，居住人群素质高。小区出门有中海环宇荟、凯德晶萃广场，复兴SOHO广场、新天地时尚广场等休闲场所以及曙光医院、瑞金医院等配套设施。近淮海中路繁华地带，完全可满足其高生活品质的要求。
SH2458579608547622912,整租·马当小区 2室0厅 东南,https://image1.ljcdn.com/110000-inspection/f261c1e0709d6e3be45e86cc436324b6.jpg.250x182.jpg,黄浦,新天地,马当小区,62,2室0厅1卫,东南,8000,近地铁;精装;,高楼层/27层,2020-02-25,精装修,整租,季付,8000,0,需咨询,1号线-黄陂南路-1165m;1号线-黄陂南路-1165m;1号线-黄陂南路-1165m;1号线-黄陂南路-1165m;,True,True,True,True,True,False,True,False,True,True,暂无数据,民电,自采暖,2年以内,需提前预约,随时入住,True,民水,False,https://image1.ljcdn.com/110000-inspection/db609d3cbb081f50bbd0ab53b647e436.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/f261c1e0709d6e3be45e86cc436324b6.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/208fa8c5a4fc3dd391d83fee64ce83b3.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/cc388c4516953c4e0e80ffbda9d8e12b.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/344632bd4c1d239aa77a942759d77645.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/d8055aaa05cb5c3646d420d030852630.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/74f41218638c6d7cf60cf1297d592cf2.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/87d14f3f72468c4c57b57de6d24cf363.jpg.780x439.jpg;,【户型介绍】温馨小两房，主卧朝东带阳台，次卧朝西朝过道【装修描述】房东买入后精心装修，保养也很好，和两年前基本没差别【交通出行】小区位于新天地和马当路地铁站中间位置，步行到9/10/13线可达【出租原因】房东买入后装修就出租了，暂时不自住的【周边配套】凯德精粹广场，中海环宇荟，新天地南里北里，复兴soho等等都在旁边，吃喝玩乐样样俱全
SH2393949332744445952,整租·建德坊 2室2厅 南,https://image1.ljcdn.com/310000-inspection/665f80a2-406f-43a9-ab12-07567eeca36b.jpg.250x182.jpg,黄浦,新天地,建德坊,0,,,10000,近地铁;,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
SH2392098333943668736,整租·巴黎公寓 1室1厅 东/西,https://image1.ljcdn.com/310000-inspection/a9f25bc2-939f-4134-abee-8f4f50cf060b.jpg.250x182.jpg,黄浦,新天地,巴黎公寓,45,1室1厅1卫,东/西,6000,近地铁;随时看房;,高楼层/2层,2020-02-13,,整租,季付,6000,0,需咨询,8号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1186m;8号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1186m;8号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1186m;8号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1186m;8号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-1186m;,True,True,True,True,True,True,True,True,True,True,暂无数据,暂无数据,暂无数据,2年以内,需提前预约,随时入住,False,暂无数据,False,https://image1.ljcdn.com/310000-inspection/8cba07ec-6507-436f-9acf-74384a92e5dd.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a9f25bc2-939f-4134-abee-8f4f50cf060b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/6d34a2c4-4971-4a24-8d32-fa40c05dda41.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f3011d96-d0dd-4cc5-94cc-a45825bac948.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9902890e-8f04-4800-9ab4-6c8228bdbe34.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b4d4a747-26f9-4e84-8063-8bc37fc88f31.jpg.780x439.jpg;,【装修描述】业主之前自住，精心设计，少有的精装一房，保养仔细，整体清爽整洁，宽敞明亮。【交通出行】小区出门步行五、六min就是新天地站10/13号线地铁口，距离1号线黄陂南路站步行不到十min，三轨相交，交通便利，出行快捷。【周边配套】此房所在新天地板块位置，繁华地段，购物有凯德晶萃广场，步行约400M到新天地时尚，太平桥公园【小区介绍】1、小区位于新天地板块，重庆南路，梧桐浓荫，绿意盎然，闹中取静。 2、小区24小时有门禁，物业管理好，楼道也很清爽，邻里和睦。 入住新天地，这里是一个不错的选择
SH2402675398690209792,整租·健乐小区 2室0厅 南,https://image1.ljcdn.com/310000-inspection/472f7ecb-3ddc-4346-9f80-34404cfe6e7e.jpg.250x182.jpg,黄浦,新天地,健乐小区,56,2室0厅1卫,南,6800,近地铁;,中楼层/6层,2020-02-08,,整租,季付,6800,0,需咨询,9号线-打浦桥-1159m;9号线-打浦桥-1159m;9号线-打浦桥-1159m;9号线-打浦桥-1159m;9号线-打浦桥-1159m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,1年以内,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/cfe84b2b-625d-42c7-a3e4-b77edccea849.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/472f7ecb-3ddc-4346-9f80-34404cfe6e7e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1d4885a1-1386-455c-88d2-550ec937e1c8.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/53b3215c-60ec-4555-9dd3-d81cf5a17538.jpg.780x439.jpg;,【房源亮点】该小区是水泥楼梯房，不同于市里的老公房，小区环境干净整洁，SOHO复兴广场就在旁边。安全规范，得房率高。地段是新天地内核，凯德晶萃广场旁。本房源地处小区内部，安静不沿街，闹中取静。【交通出行】小区出门就是马当路9/13号线地铁口，三轨相交，9/10/13号线，交通便利，步行约800M可至新天地时尚购物【周边配套】此房所在新天地中.心位置，繁华地段，购物有凯德晶萃广场，步行约10M到新天地时尚，太平桥公园
SH2356426305706401792,整租·马当小区 2室1厅 南,https://image1.ljcdn.com/310000-inspection/f7683287-7f14-411a-934c-26a63f48a9b8.jpg.250x182.jpg,黄浦,新天地,马当小区,0,,,9500,近地铁;精装;,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
