hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2394135423552331776,整租·恒业路311弄 1室1厅 南,https://image1.ljcdn.com/310000-inspection/98c04e73-6b58-4c8f-a559-2cadbb29aa31.jpg.250x182.jpg,虹口,鲁迅公园,恒业路311弄,35,1室1厅1卫,南,3300,近地铁;随时看房;,高楼层/7层,2020-02-10,,整租,需咨询,3300,0,需咨询,3号线，8号线-虹口足球场-810m;3号线，8号线-虹口足球场-810m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,只能周末看房,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/aa9f09f6-018e-4070-b8cf-c6921b1be742.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/98c04e73-6b58-4c8f-a559-2cadbb29aa31.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e6fbd5f0-aaff-4c34-b9e9-80c0d8b37096.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f97760f1-c08d-49c1-9a27-0494f110d0b2.jpg.780x439.jpg;,
SH2412360512605536256,整租·谭家桥小区 1室1厅 南,https://image1.ljcdn.com/shfdfs-image/20171225/d3a77a3a-f3a4-4527-a688-f3d8aa65dd3a.jpg.250x182.jpg,虹口,鲁迅公园,谭家桥小区,36,1室1厅1卫,南,4200,近地铁;精装;,高楼层/5层,2020-02-19,精装修,整租,季付,4200,0,需咨询,8号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-619m;8号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-619m;8号线，10号线(新江湾城-虹桥火车站)，10号线(新江湾城-619m;,True,True,True,True,True,False,True,False,True,True,暂无数据,民电,暂无数据,1年以内,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/shfdfs-image/20171225/50b23dec-47b6-44dc-a6ad-efc9682f4b96.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20171225/13e1a7bb-d91d-4fae-8062-2678425e6fa6.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20171225/f9482478-6c40-4637-b5db-e57405b5065c.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20171225/d3a77a3a-f3a4-4527-a688-f3d8aa65dd3a.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20171225/5a226e9f-d85f-46db-be2d-8fa3a0ecbc8b.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20171225/8ddacf9d-9db3-4df5-a497-086aba32670f.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20171225/dbd55070-b050-4022-ab25-03b50919d41b.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20171225/1667fee3-9fd3-43bc-b43e-bdf2aa3145a2.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20171225/0b4bc3e9-23f7-4583-8832-2e465c0936bd.jpg.780x439.jpg;https://image1.ljcdn.com/shfdfs-image/20171225/a21e01da-9537-43eb-9669-fab27f000f88.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/7e5cd563-8bfa-43fe-bbd3-24dcee9d83cb.png.780x439.jpg;,【房源亮点】1、装修精致，家电齐全。 2、看房方便，随时看房。 3、业主诚意出租。【装修描述】小区环境安静，房间干净整洁，家电设施齐全，配有客厅餐桌，空间大。【交通出行】地铁：8号线曲阳路站步行600米，十号线邮电新村站步行700米，双轨交汇。 小区门口就是公交车站台！有147、 123、 47、 597 、751、 863、 962。乘公交车可直达外滩，五角场。享受便利的出行。【周边配套】鲁迅公园步行200米到达，天然氧吧，享受健康的生活！市区公园免费开放 ，更有虹口龙之梦，虹口足球场，四川北路街，山阴路，甜爱路老上海风情街道。都近在咫尺。生活，休闲，娱乐，交通出行都十分便利！【小区介绍】虹仪小区分351弄和377弄。351弄是原虹口区仪表局，铁建局合资共建的福利房，居民多为原单位员工，377弄为商品房，小区人群素质比较高。隔壁是虹口区党校，宏达物业公司，小区治安、物业管理堪称虹口典范。旁边500米密布两大菜场，生活便利。
SH2457976860705816576,整租·同心路93弄 1室1厅 南,https://image1.ljcdn.com/110000-inspection/58cd60b8c51ae5505dad6f7648e015d4.jpg.250x182.jpg,虹口,鲁迅公园,同心路93弄,40,1室1厅1卫,南,4400,近地铁;精装;,中楼层/7层,2020-02-23,精装修,整租,需咨询,4400,0,需咨询,3号线-东宝兴路-704m;3号线-东宝兴路-704m;,False,True,True,True,True,True,True,False,True,True,暂无数据,民电,暂无数据,3年以内,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/110000-inspection/58cd60b8c51ae5505dad6f7648e015d4.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/165855ced95cdea53a4f509de3ca332e.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/c0cc1dc9cdb7a9da4c0d1ad81b7e31cb.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/38274daefef8d5ce0dad9e006f949ae3.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/4a0324db092fce3b347cc205f391a94b.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/e9f6be28209af733c5c6640735e2cdb6.jpg.780x439.jpg;,【装修描述】房屋精装修，保养好，房东爱惜 ，装修风格简洁大方不失温馨，室内整洁。房型方正规整，家具家电配套齐全。适合1-2人居住。【出租原因】房屋目前空置，处于闲置状态。房东十分友好，诚意出租，希望能找到有缘份，素质比较高，爱干净，能长租的租客。【周边配套】同心路93弄在地理位置上占据着很大的优势，完全满足衣、食、住、行日常生活的方方面面。交通有地铁3/8号线双轨交汇，距离地铁口步行3-5min。购物娱乐有虹口龙之梦、家乐福大型商超，满足生活需求。另有西江湾路小吃街涵盖各色小吃，美食以及菜场。
SH2412218198193094656,整租·虹仪小区 1室0厅 南,https://image1.ljcdn.com/310000-inspection/pc1_5nlOE4Gkg_1.jpg.250x182.jpg,虹口,鲁迅公园,虹仪小区,36,1室0厅1卫,南,3700,近地铁;精装;随时看房;,高楼层/6层,2020-02-05,精装修,整租,季付,3700,0,需咨询,3号线，8号线-虹口足球场-1006m;3号线，8号线-虹口足球场-1006m;3号线，8号线-虹口足球场-1006m;,True,True,True,True,True,True,True,True,True,True,租用车位,民电,暂无数据,1年以内,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/pc1_5nlOE4Gkg_1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/7a180127-d0b3-47df-b53d-8e7d95837f15.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/5a82d8ac-32b6-4605-8faf-f4579f2d0d01.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ffd83a61-54f1-420d-94c7-da4bc62a6fe9.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/77c99e5f-a392-454f-b696-319fab261e23.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a52e6d08-e4f7-4cae-a375-cca2e67b6d41.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/standard_62ba8064-f508-44fc-8d0d-1edc1aad21b9.png.780x439.jpg;,【房源亮点】1、装修精致，家电齐全。2、随时起租，租客明天搬走。3、看房方便，随时看房。4、业主诚意出租。【户型介绍】该房源是朝南一室户，一室一厅一厨一卫，装修比较居家。【交通出行】交通：8号线曲阳路站步行600米，十号线邮电新村站步行700米，双轨交汇。 小区门口就是公交车站台！有147、 123、 47、 597 、751、 863、 962。乘公交车可直达外滩，五角场。享受便利的出行。【周边配套】鲁迅公园步行200米到达，天然氧吧，享受健康的生活！市区公园免费开放 ，更有虹口龙之梦，虹口足球场，四川北路街，山阴路，甜爱路老上海风情街道。都近在咫尺。生活，休闲，娱乐，交通出行都十分便利！【小区介绍】虹仪小区分351弄和377弄。351弄是原虹口区仪表局，铁建局合资共建的福利房，居民多为原单位员工，377弄为商品房，小区人群素质比较高。隔壁是虹口区党校，宏达物业公司，小区治安、物业管理堪称虹口典范。旁边500米密布两大菜场，生活便利
SH2432616777079848960,整租·同心路125弄 1室1厅 南,https://image1.ljcdn.com/310000-inspection/b699df43-49b9-437d-88f6-639041ce9cad.jpg.250x182.jpg,虹口,鲁迅公园,同心路125弄,0,,,4300,近地铁;随时看房;,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
SH2454994327580459008,整租·商业一村 1室0厅 南,https://image1.ljcdn.com/110000-inspection/b531a375-3ad2-4478-ab2d-386a35d7b2c6.jpg.250x182.jpg,虹口,鲁迅公园,商业一村,36,1室0厅1卫,南,3800,近地铁;,中楼层/5层,2020-02-25,,整租,需咨询,3800,0,需咨询,2号线-川沙-1063m;2号线-川沙-1063m;2号线-川沙-1063m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/110000-inspection/b531a375-3ad2-4478-ab2d-386a35d7b2c6.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/6b983f9a-bab9-49e8-941e-303ba55469ac.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/8e59abb2-22a7-4050-a04b-2ccbe9d80517.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/6c2ec5b6-2e4f-4bf5-b47c-b493079c22f4.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/prod-c364a0de-0cd2-466f-b020-e58725db0643.png.780x439.jpg;,【房源亮点】有3/8号虹口足球场地铁线，公园，银行，超市，菜市场，龙之梦，家乐福等等让您在喧闹中又能感受到一丝静雅，让您在想去购物逛街的时候有地可选择，想安静休息的时候又能感受到它的静雅。【周边配套】有3/8号虹口足球场地铁线，公园，银行，超市，菜市场，龙之梦，家乐福等等让您在喧闹中又能感受到一丝静雅，让您在想去购物逛街的时候有地可选择，想安静休息的时候又能感受到它的静雅。【小区介绍】房子不把边，不临街，环境安静，小区环境静谧，给您一个全新的开始，小区与众不同，邻里邻舍好相处，欢笑声，鸟鸣声，声声入耳。您来看一看可能就爱上它了哟
SH2443573503874564096,整租·何家宅小区 1室1厅 南,https://image1.ljcdn.com/110000-inspection/a54ad81e-bee9-4a22-b8e7-25084b9d6d52.jpg.250x182.jpg,虹口,鲁迅公园,何家宅小区,0,,,3800,近地铁;随时看房;,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
SH2459282930665521152,整租·何家宅小区 1室1厅 南,https://image1.ljcdn.com/110000-inspection/e6fc4337-58fd-400d-bbe8-aa409627402b.jpg.250x182.jpg,虹口,鲁迅公园,何家宅小区,37,1室1厅1卫,南,4500,近地铁;随时看房;,低楼层/6层,2020-02-25,,整租,需咨询,4500,0,需咨询,3号线-东宝兴路-1140m;3号线-东宝兴路-1140m;3号线-东宝兴路-1140m;3号线-东宝兴路-1140m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/110000-inspection/e6fc4337-58fd-400d-bbe8-aa409627402b.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/3bfc6c76-cd94-4c54-bd7d-cd29aeaabe7a.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/b3556236-d06e-4517-847f-d5c352461855.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/324999b2-f4b7-4753-add6-8b56325d8b88.jpg.780x439.jpg;,【房源亮点】3/8号虹口足球场地铁线，公园，银行，超市，菜市场，龙之梦，家乐福等等让您在喧闹中又能感受到一丝静雅，让您在想去购物逛街的时候有地可选择，想安静休息的时候又能感受到它的静雅【交通出行】300米左右就是大型购物商场龙之梦+虹口足球场3/8号线，！！！交通便利，公交也方便，您可以随心情选择是开车，乘地铁亦或是感受公交共享单车的别样风情，都很方便【小区介绍】房子不把边，不临街，环境安静，小区环境静谧，给您一个全新的开始，小区与众不同，邻里邻舍好相处，欢笑声，鸟鸣声，声声入耳。您来看一看可能就爱上它了哟
SH2419346245186494464,整租·虹仪小区 1室1厅 南,https://image1.ljcdn.com/310000-inspection/22a456cc-3de0-45a5-a546-b1f69e54a0fd.jpg.250x182.jpg,虹口,鲁迅公园,虹仪小区,37,1室1厅1卫,南,4200,近地铁;精装;,低楼层/6层,2020-02-20,精装修,整租,季付,4200,0,需咨询,3号线，8号线-虹口足球场-1006m;3号线，8号线-虹口足球场-1006m;3号线，8号线-虹口足球场-1006m;,True,True,True,True,True,False,True,True,True,True,暂无数据,民电,暂无数据,1年以内,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/22a456cc-3de0-45a5-a546-b1f69e54a0fd.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1f5d5ee5-458b-4cd3-870d-a734b5ddfca8.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e22f88d7-f433-4ea6-ac49-69864b961d59.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/94d9f91e-6adc-462e-b6fb-82f6acb6b50a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/6f094f1f-3a87-4506-aefb-fcd0d4218123.jpg.780x439.jpg;,【房源亮点】1、装修精致，家电齐全。 2、随时起租，租客可以随时搬走。 3、看房方便，随时看房。 4、业主诚意出租。【交通出行】交通：8号线曲阳路站步行600米，十号线邮电新村站步行700米，双轨交汇。 小区门口就是公交车站台！有147、 123、 47、 597 、751、 863、 962。乘公交车可直达外滩，五角场。享受便利的出行。【周边配套】鲁迅公园步行200米到达，天然氧吧，享受健康的生活！市区公园免费开放 ，更有虹口龙之梦，虹口足球场，四川北路街，山阴路，甜爱路老上海风情街道。都近在咫尺。生活，休闲，娱乐，交通出行都十分便利！【小区介绍】虹仪小区分351弄和377弄。351弄是原虹口区仪表局，铁建局合资共建的福利房，居民多为原单位员工，377弄为商品房，小区人群素质比较高。隔壁是虹口区党校，宏达物业公司，小区治安、物业管理堪称虹口典范。旁边500米密布两大菜场，生活便利
SH2368641445193326592,整租·商业一村 1室0厅 北,https://image1.ljcdn.com/310000-inspection/b646b11e-6524-4f1a-927a-f328692693d4.jpg.250x182.jpg,虹口,鲁迅公园,商业一村,31,1室0厅1卫,北,4100,近地铁;随时看房;,低楼层/5层,2020-02-14,,整租,需咨询,4100,0,需咨询,2号线-川沙-1063m;2号线-川沙-1063m;2号线-川沙-1063m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/b646b11e-6524-4f1a-927a-f328692693d4.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/388cc6a1-73d3-4543-87e1-096b8242125f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/80e310cc-84ed-40c6-abae-00764ec73c9b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/65ebf408-523f-4c97-9c92-4fdf023a110e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/8bdfe49a-14f8-4352-a20a-4b19f1693b45.jpg.780x439.jpg;,
SH2401227904492519424,整租·何家宅小区 1室0厅 西南,https://image1.ljcdn.com/310000-inspection/pc1_eeMLTXXNT_1.jpg.250x182.jpg,虹口,鲁迅公园,何家宅小区,30,1室0厅1卫,西南,4200,近地铁;随时看房;,中楼层/6层,2020-02-15,,整租,季付,4200,0,需咨询,3号线-东宝兴路-1140m;3号线-东宝兴路-1140m;3号线-东宝兴路-1140m;3号线-东宝兴路-1140m;,False,True,True,True,True,True,True,False,True,True,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/pc1_eeMLTXXNT_1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/2bdbfe21-3d43-4ae7-9eb5-26072f7ea13e.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/dab4b1fb-d766-4e26-99b9-9748cf584a45.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/cc5e6945-e5f1-445f-b441-59c85b7a3d5b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f3ff0160-c590-42e0-9104-d5bfc96a3472.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/standard_e5701adc-ea4a-4501-a6dc-4de48124070f.png.780x439.jpg;,【房源亮点】房屋朝南，采光条件好，装修属于精装修适合居家选择，楼层适宜，南北通透【户型介绍】方型方正，朝南采光条件好，楼层属于中低楼层，可拎包入住。这是标准 的一室户【装修描述】装修属于简单的装修，这房源本是房东父母居住的，所以里面的家具设备偏居家型的【交通出行】近地铁三号线和8号线，还有公交车站台，方便你上下班，骑自行车3-5MIN就到达虹口足球场【出租原因】房屋属于租售的，，空置是一种浪费，所以需要充分利用好资源，房屋出租也从某种角度来说是在帮助别人【小区介绍】小区邻居关系融洽，可以领略到上海人独特的生活气息与节奏，小区四通八达方便上下班
SH2433793076976951296,整租·何家宅小区 1室1厅 南,https://image1.ljcdn.com/310000-inspection/997b5074-4dc1-46a9-8d43-75aa51ae2ed1.jpg.250x182.jpg,虹口,鲁迅公园,何家宅小区,37,1室1厅1卫,南,4500,近地铁;,高楼层/7层,2020-02-25,,整租,季付,4500,0,需咨询,3号线-东宝兴路-1140m;3号线-东宝兴路-1140m;3号线-东宝兴路-1140m;3号线-东宝兴路-1140m;,True,True,True,True,True,True,True,True,True,True,租用车位,民电,自采暖,3年以内,需提前预约,2020-02-29,False,民水,True,https://image1.ljcdn.com/310000-inspection/997b5074-4dc1-46a9-8d43-75aa51ae2ed1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/6d9f323c-de67-420b-be17-5abb32e05422.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/09fa8939-b90f-474f-bcb2-f09a5588e069.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/17aaf3b2-a1c2-4501-8e57-b13618365df5.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/47ce0807-3abe-48d9-ad14-e732574f70ed.png.780x439.jpg;,【房源亮点】此房为精装修，居家好选择，视野开阔，距离3/8号线虹口足球场站大约300米，龙之梦商场，家乐福，鲁迅公园等等，小区目前旁边有银行，交通，购物都比较完善，现寻有缘人，不求高价只求爱惜。【装修描述】房屋为精装修，家电家具齐全，卧室宽大，户型正气，采光视野很好，空气流通性强，对身体有益，卫生间各种卫浴齐全，房源为本小区优质户型，通透，正气，空间感强。【交通出行】300米左右就是大型购物商场龙之梦+虹口足球场3/8号线，！！！交通便利，小区门口公交也方便，您可以随心情选择是开车，乘地铁亦或是感受公交共享单车的别样风情。【出租原因】租客因为工作调动才选择出租，对房子保养得很好，各类设施都完好无损，不求高价，只求爱惜【周边配套】有3/8号虹口足球场地铁线，公园，银行，超市，菜市场，龙之梦，家乐福等等让您在喧闹中又能感受到一丝静雅，让您在想去购物逛街的时候有地可选择，想安静休息的时候又能感受到它的静雅。【小区介绍】房子不把边，不临街，环境安静，小区环境静谧，给您一个全新的开始，小区与众不同，邻里邻舍好相处，欢笑声，鸟鸣声，声声入耳。您来看一看可能就爱上它了哟。
SH2434538992747167744,整租·何家宅小区 1室0厅 南,https://image1.ljcdn.com/310000-inspection/6c9e145c-1d65-4b01-95ac-68e366151adf.jpg.250x182.jpg,虹口,鲁迅公园,何家宅小区,36,1室0厅1卫,南,4500,近地铁;随时看房;,低楼层/6层,2020-02-18,,整租,季付,4500,0,需咨询,3号线-东宝兴路-1140m;3号线-东宝兴路-1140m;3号线-东宝兴路-1140m;3号线-东宝兴路-1140m;,True,True,True,True,True,True,True,True,True,True,暂无数据,民电,自采暖,3年以上,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/6c9e145c-1d65-4b01-95ac-68e366151adf.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/8790051f-2f87-48b5-aa2c-f6d6bbf9ee56.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f04ed9ee-7809-4113-903d-ea330144a099.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/8f869c7d-4142-4c2b-ab85-ed83e4654b01.jpg.780x439.jpg;,【房源亮点】此房为精装修，居家好选择，视野开阔，距离3/8号线虹口足球场站大约300米，龙之梦商场，家乐福，鲁迅公园等等，小区目前旁边有银行，交通，购物都比较完善，现寻有缘人，不求高价只求爱惜。【装修描述】房屋为精装修，家电家具齐全，卧室宽大，户型正气，采光视野很好，空气流通性强，对身体有益，卫生间各种卫浴齐全，房源为本小区优质户型，通透，正气，空间感强。【交通出行】300米左右就是大型购物商场龙之梦+虹口足球场3/8号线，！！！交通便利，小区门口公交也方便，您可以随心情选择是开车，乘地铁亦或是感受公交共享单车的别样风情。【出租原因】租客因为工作调动才选择出租，对房子保养得很好，各类设施都完好无损，不求高价，只求爱惜【周边配套】有3/8号虹口足球场地铁线，公园，银行，超市，菜市场，龙之梦，家乐福等等让您在喧闹中又能感受到一丝静雅，让您在想去购物逛街的时候有地可选择，想安静休息的时候又能感受到它的静雅。【小区介绍】房子不把边，不临街，环境安静，小区环境静谧，给您一个全新的开始，小区与众不同，邻里邻舍好相处，欢笑声，鸟鸣声，声声入耳。您来看一看可能就爱上它了哟。
SH2378272932146724864,整租·商业一村 1室0厅 北,https://image1.ljcdn.com/310000-inspection/d16a1d6a-c321-43a7-b882-19cb3c6cc701.jpg.250x182.jpg,虹口,鲁迅公园,商业一村,0,,,4200,近地铁;精装;,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
SH2461509108759797760,整租·虹仪小区 2室0厅 南,https://image1.ljcdn.com/310000-inspection/pc1_xYQ5Qr5Es_1.jpg.250x182.jpg,虹口,鲁迅公园,虹仪小区,53,2室0厅1卫,南,5500,新上;近地铁;,中楼层/6层,2020-02-24,,整租,需咨询,5500,0,需咨询,3号线，8号线-虹口足球场-1006m;3号线，8号线-虹口足球场-1006m;3号线，8号线-虹口足球场-1006m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/pc1_xYQ5Qr5Es_1.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/50604f29-21cd-4ef0-839b-32438c8e5793.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/cb95760b-e098-45c9-9634-76076753d390.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/0140d2ac-21f7-4598-bf7f-10c314f4a6c8.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/ee5594f3-4f08-4dd8-ae7c-ce9568045c2d.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/standard_f1789889-a5e4-4248-82a6-e81809701830.png.780x439.jpg;,【房源亮点】1、装修精致，家电齐全。 2、看房方便，随时看房。 4、业主诚意出租。【交通出行】8号线曲阳路站步行600米，十号线邮电新村站步行700米（数据来自高德地图），双轨交汇。 小区门口就是公交车站台！有147、 123、 47、 597 、751、 863、 962。乘公交车可直达外滩，五角场。【周边配套】鲁迅公园步行200米到达，天然氧吧，享受健康的生活！虹口龙之梦，虹口足球场，四川北路街，山阴路，甜爱路老上海风情街道近在咫尺。生活，休闲，娱乐，交通出行一条龙。
SH2462939563497635840,整租·恒业路118弄 2室0厅 南,https://image1.ljcdn.com/110000-inspection/724f54a9dbef9697978a76d732f060b8.jpg.250x182.jpg,虹口,鲁迅公园,恒业路118弄,55,2室0厅1卫,南,6000,新上;近地铁;,中楼层/7层,2020-02-25,,整租,季付,6000,0,需咨询,3号线-东宝兴路-1193m;3号线-东宝兴路-1193m;3号线-东宝兴路-1193m;,True,True,True,True,True,True,True,True,True,True,暂无数据,民电,暂无数据,1年以内,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/110000-inspection/324b8c3aed4c735d1fc635e5ce5100cd.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/724f54a9dbef9697978a76d732f060b8.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/526de224d55bb38e3bc46ae2dc809452.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/c4d94331fc1060565102c6e52ad3654d.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/d6a70d5c428bc9b10952705a0e24f6e5.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/7ce63973620e94ff0b5bca6cc8b358ec.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/70da3599d39aae7adde7ff05f18617d5.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/79f10125b60f67302dde9e66e502eaa4.jpg.780x439.jpg;,【户型介绍】一南一北两房户型，南面主卧有大阳台，阳光充足，方便晒衣服，居家舒适。【装修描述】房子是之前装修过的，装修比较简约，家具家电齐全，出行方便，距离龙之梦不到100米。【交通出行】距离3号线8号线虹口足球场地铁站不到500米，出行方便，公交站也比较近。
SH2459980334889181184,整租·何家宅小区 1室0厅 南,https://image1.ljcdn.com/110000-inspection/1eaf626e2f32e4c9d2942a2a7eb66a85.jpg.250x182.jpg,虹口,鲁迅公园,何家宅小区,36,1室0厅1卫,南,5000,新上;近地铁;,高楼层/6层,2020-02-24,,整租,需咨询,5000,0,需咨询,3号线-东宝兴路-1140m;3号线-东宝兴路-1140m;3号线-东宝兴路-1140m;3号线-东宝兴路-1140m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,自采暖,暂无数据,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/110000-inspection/1eaf626e2f32e4c9d2942a2a7eb66a85.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/6a3a5bcec149811927d4befb8b3f03c8.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/097b75121c3208097c03671268ff31d8.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/3cfd93d22e290d83ae48d0d7a2522c25.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/2f503f2ca50ffebbec0e20e5a0801e07.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/d1d44cdbe06e20a790dd4d633d88d070.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/a7eb553e-0ba7-4882-b544-1874e3477dd9.png.780x439.jpg;,
