hid,name,pre_img,district,subdistrict,community,area,layout,face,rent,tags,floor,update_time,decorate,lease_mode,payment,deposit,charge,fee,distance,tv,refri,air,wash,water_heater,air_heater,bed,wideband,wardrobe,gas,park,electricity,heat,lease_time,view,checkin,elevator,water,natgas,imgs,description
SH2429539778438905856,整租·上海滩新昌城 2室2厅 南,https://image1.ljcdn.com/lease-image/house/45897e49-1b46-4bd9-a66c-cb77a6d9300d.jpg.250x182.jpg,黄浦,人民广场,上海滩新昌城,0,,,16000,近地铁;精装;随时看房;,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
SH2463525315616710656,整租·紫华大楼 1室1厅 南,https://image1.ljcdn.com/110000-inspection/5d2ea6c62e62c858d03c10a698f75c0d.jpg.250x182.jpg,黄浦,人民广场,紫华大楼,60,1室1厅1卫,南,6000,新上;近地铁;随时看房;,高楼层/21层,2020-02-25,,整租,季付,6000,0,需咨询,8号线-大世界-1178m;8号线-大世界-1178m;8号线-大世界-1178m;8号线-大世界-1178m;,True,True,True,True,True,False,True,True,True,True,租用车位,民电,暂无数据,3年以内,需提前预约,随时入住,True,民水,False,https://image1.ljcdn.com/110000-inspection/5d2ea6c62e62c858d03c10a698f75c0d.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/7e0556f29487d365ade2a625c76547e0.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/3a2ac5af9286b78ac06cd3ca3c2ad0dc.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/b000007d30ebb4d524d2c9e6171ce33a.jpg.780x439.jpg;https://image1.ljcdn.com/110000-inspection/709d23092d68ba4a26ed69ee69f85704.jpg.780x439.jpg;,【装修描述】居家精美装修，标准一室户，电梯房，家具家电基础设施配套齐全。【交通出行】交通出行便利，人民广场地铁站，1.2.8号线，南京西路地铁站，2.13号线，黄陂南路地铁站，1号线，还有多条公交线经过【周边配套】配套设施齐全，大沽路和重庆北路交汇处，旁边是市政大厦，人民广场板块，黄浦和静安交界处，繁华地段
SH2387747893269233664,整租·平和里 1室1厅 南,https://image1.ljcdn.com/310000-inspection/b0108d46-7f2f-46a6-96d2-627b0a902470.jpg.250x182.jpg,黄浦,人民广场,平和里,68,1室1厅1卫,南,8000,近地铁;精装;,低楼层/8层,2020-02-09,精装修,整租,季付,8000,0,需咨询,8号线，12号线-曲阜路-1127m;8号线，12号线-曲阜路-1127m;8号线，12号线-曲阜路-1127m;8号线，12号线-曲阜路-1127m;8号线，12号线-曲阜路-1127m;,True,True,True,True,True,False,True,True,True,True,暂无数据,民电,暂无数据,3年以内,需提前预约,随时入住,True,民水,False,https://image1.ljcdn.com/310000-inspection/90374db5-da3b-4d1d-b00d-425a99aa280b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/b0108d46-7f2f-46a6-96d2-627b0a902470.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/35886e6f-9dfe-4a80-9b72-bd50e330792d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e73883c6-f9b2-425a-bc18-2380a690a758.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a0378603-cf66-4d75-9dbe-bce9be1ba21d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/240c2715-b931-40cd-8471-45bee8974016.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9d8d9787-325c-4655-a95c-dbb93b0f330c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c3551be6-ad0a-4f08-ad47-5a5834d637f8.jpg.780x439.jpg;,【交通出行】人民广场地铁站离小区不 远，1.2.8号线在人民广场地铁站汇集，换乘方便，北京西路上21路公交站台就在小区楼下，南北高架进出口就在小区的西边，交通极其便利【出租原因】现在的租客因为工作原因要离开，房东诚意出租哦。房东阿姨人也好好哦【周边配套】小区周 边配套设施齐全，银行，顺丰快递站在周 边，出小区不 远黄河路美食一条街，没有吃不到的只有想不到的
SH2420314799595593728,整租·上海滩新昌城 1室1厅 南,https://image1.ljcdn.com/310000-inspection/bcf7fdad-bc0a-4b87-af5b-0057ad3562e9.jpg.250x182.jpg,黄浦,人民广场,上海滩新昌城,61,1室1厅1卫,南,9500,近地铁;精装;,低楼层/25层,2020-02-08,精装修,整租,季付,9500,0,需咨询,1号线，2号线，8号线-人民广场-967m;1号线，2号线，8号线-人民广场-967m;1号线，2号线，8号线-人民广场-967m;1号线，2号线，8号线-人民广场-967m;1号线，2号线，8号线-人民广场-967m;,True,True,True,True,True,True,True,True,True,True,租用车位,民电,暂无数据,3年以内,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/310000-inspection/fee300ac-0b7c-46fa-8abf-b96e28c6567c.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/bcf7fdad-bc0a-4b87-af5b-0057ad3562e9.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/19bc98f2-03b9-4987-babb-cac781491ac5.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a68922c0-8fe2-400a-816c-5271d3f19d66.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/dd6d9ff0-86cc-4a2f-a527-f0fa8d298ed6.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e4083d7e-7e38-42d6-8a26-08f6ab217e9a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a6f510bb-1593-411e-9031-2c31a855329c.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/641b6150-556d-4b1e-878f-558e7f8809e3.png.780x439.jpg;,【交通出行】小区门口100米处是地铁1号线新闸路站，延安高架，南北高架，自驾出行便利，门口有21路 64路公交车【周边配套】此房闹中取静，人民广场，雕塑公园都是好去处，南京东路，南京西路，外滩，近在咫尺间，楼下银行，超市，菜场一应俱全【小区介绍】小区是2006年上海建工集团精心打造的大型社区，小区人文素质较高，自带小区游乐场，绿化40%
SH2295373936067608576,整租·长新大楼 2室1厅 南,https://image1.ljcdn.com/310000-inspection/81ddb50c-57a4-44cc-b696-22f3ade2301f.jpg.250x182.jpg,黄浦,人民广场,长新大楼,0,,,7500,近地铁;精装;随时看房;,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,False,,False,,
SH2422339871566995456,整租·新闸路272-280号 2室0厅 南/北,https://image1.ljcdn.com/310000-inspection/556ead51-3ece-4595-9d74-e78b6fd692fc.jpg.250x182.jpg,黄浦,人民广场,新闸路272-280号,41,2室0厅1卫,南/北,6500,近地铁;精装;,中楼层/6层,2020-02-16,精装修,整租,季付,6500,0,需咨询,1号线，12号线，13号线-汉中路-958m;1号线，12号线，13号线-汉中路-958m;1号线，12号线，13号线-汉中路-958m;1号线，12号线，13号线-汉中路-958m;1号线，12号线，13号线-汉中路-958m;,True,True,True,True,True,False,True,False,True,True,租用车位,民电,暂无数据,3年以内,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/556ead51-3ece-4595-9d74-e78b6fd692fc.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/6af2a598-8f72-4bfa-9d4e-e9c85d0529dd.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/8dcd4212-72cc-4aa0-a30e-0af3673470f9.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/db4e4a6c-f267-4f65-b1e9-102363134faf.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/e0915114-bdf8-4499-86d8-4ed1a5fb6093.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9dcf862a-de91-48ce-9e50-e5f2b64aac46.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f1f0d2fe-1a34-44e7-8cb3-96809fb62bae.jpg.780x439.jpg;,【装修描述】中装两房，朝南采光无遮挡，房子南北通，通风没问题冬暖夏凉，期待您的入住【交通出行】小区下楼就是一号线新闸路地铁站，前一站是汉中路地铁站，可换乘12号线，13号线，后一站是人民广场地铁站，可换乘2号线，8号线，新闸路19路，64路，136路公交车，出行交通极其便利。【周边配套】小区周 边配套设施齐全，楼下新闸路建行，工行以及小区对 面的农行，联华超市购物便利，出小区不 远黄河路美食一条街，没有吃不到的只有想不到的，山海关路菜市场是上海闻名的菜场，菜品多且齐全。
SH2433062876291284992,整租·长江公寓 2室1厅 南,https://image1.ljcdn.com/310000-inspection/3ec1b4ef-75de-4ea0-a3f5-35c92704b524.jpg.250x182.jpg,黄浦,人民广场,长江公寓,86,2室1厅1卫,南,9000,近地铁;,中楼层/14层,2020-01-16,,整租,需咨询,9000,0,需咨询,13号线-自然博物馆-1070m;13号线-自然博物馆-1070m;13号线-自然博物馆-1070m;13号线-自然博物馆-1070m;,False,False,False,False,False,False,False,False,False,False,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,True,民水,False,https://image1.ljcdn.com/310000-inspection/e94e8c13-8b32-4578-8f00-c30581d96718.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/6b4d5c44-8491-4125-baa6-c5ba60ddc72d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/3ec1b4ef-75de-4ea0-a3f5-35c92704b524.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/22b8de3c-faa5-4251-b96f-4b7fc12dfe0b.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/607b59e4-7180-4dd7-83c6-73d586522332.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c2365978-68d4-4b54-a2db-000c2bd60007.jpg.780x439.jpg;,
SH2415694648741216256,整租·上海滩新昌城 1室2厅 南,https://image1.ljcdn.com/310000-inspection/6489deb0-73df-4486-96ca-c337e680e566.jpg.250x182.jpg,黄浦,人民广场,上海滩新昌城,73,1室2厅1卫,南,11000,近地铁;精装;,中楼层/24层,2020-01-15,精装修,整租,需咨询,11000,0,需咨询,1号线，2号线，8号线-人民广场-967m;1号线，2号线，8号线-人民广场-967m;1号线，2号线，8号线-人民广场-967m;1号线，2号线，8号线-人民广场-967m;1号线，2号线，8号线-人民广场-967m;,True,True,True,True,True,False,True,False,True,True,暂无数据,民电,暂无数据,暂无数据,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/310000-inspection/37f54d05-139c-465a-b562-2887cb28e150.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/661783f9-cfbb-4605-983a-a53c5b780a79.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f337b20d-28d0-4e49-bb77-1affbca6a28f.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/89829b2f-6cde-47b5-9e86-363f08bab1c2.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/6489deb0-73df-4486-96ca-c337e680e566.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/a2ff4463-3c5b-4d6e-8aa2-deb1b1cd6fff.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1527dfd0-3661-4e3d-899e-5127c1bb986d.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/36f45b91-9198-453e-819e-8e94e0d372cd.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/061eba10-2894-490b-95f3-f62a35a230a7.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/26c6083c-cdb5-441b-9de0-1622f6a49f47.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/6a167c73-a213-4316-9cec-c0581002c9af.jpg.780x439.jpg;,【交通出行】小区门口100米处是地铁1号线新闸路站，延安高架，南北高架，自驾出行便利，门口有21路 64路公交车【周边配套】此房闹中取静，人民广场，雕塑公园都是好去处，南京东路，南京西路，外滩，近在咫尺间，楼下银行，超市，菜场一应俱全【小区介绍】小区是2006年上海建工集团精心打造的大型社区，小区人文素质较高，自带小区游乐场，绿化40%
SH2377572595114713088,整租·重庆北路177弄 1室1厅 南,https://image1.ljcdn.com/310000-inspection/5e3af703-1f1d-4dcd-95ca-80254985c530.jpg.250x182.jpg,黄浦,人民广场,重庆北路177弄,27,1室1厅1卫,南,6500,近地铁;精装;,低楼层/1层,2020-01-12,精装修,整租,季付,6500,0,需咨询,13号线-淮海中路-1171m;13号线-淮海中路-1171m;13号线-淮海中路-1171m;13号线-淮海中路-1171m;13号线-淮海中路-1171m;,True,True,True,True,True,True,True,True,True,True,租用车位,民电,暂无数据,3年以内,需提前预约,随时入住,False,民水,False,https://image1.ljcdn.com/310000-inspection/5e3af703-1f1d-4dcd-95ca-80254985c530.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/9ad3e6e7-8a7f-42c7-b7e3-163f52f79904.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/2ef8e987-59ca-421e-bce0-3a940978326a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/62fe5a66-7f4c-47ad-875e-66a7aec73972.jpg.780x439.jpg;,【房源亮点】楼层低，实用面积大，房东诚意出租很好，房子比照片还好看！！！！！!!!【交通出行】距离黄陂南路地铁站（1号线）730米； 距离人民广场地铁站（1号线、2号线、8号线）860米； 距离南京西路地铁站（2号线、12号线、13号线）830米； 自驾可上南北高架、延安高架【周边配套】旁边有储能，太古汇商场，延安绿地。长征医院，全家超市，华联超市，人民公园广场，野天鹅酒家。百乐大餐，爱心大药房。
SH2352164408828108800,整租·江阴路88弄 2室2厅 南,https://image1.ljcdn.com/310000-inspection/dfc03ab4-fbf1-4a8a-93cb-e72a3a9944b0.jpg.250x182.jpg,黄浦,人民广场,江阴路88弄,45,2室2厅1卫,南,8500,近地铁;,高楼层/2层,2020-01-17,,整租,季付,8500,0,需咨询,1号线-黄陂南路-1035m;1号线-黄陂南路-1035m;1号线-黄陂南路-1035m;1号线-黄陂南路-1035m;,True,True,True,True,True,False,True,False,True,True,暂无数据,民电,自采暖,2年以内,需提前预约,随时入住,False,民水,True,https://image1.ljcdn.com/310000-inspection/9376b39b-97a9-48eb-9faa-baf5fbedfbdc.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/7d05eb2c-b007-43cf-8e6d-4236a6f6fbcd.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/dfc03ab4-fbf1-4a8a-93cb-e72a3a9944b0.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/73bcfb6d-b5c8-4c8c-879e-5b2033786922.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/1aaf10e0-1f30-4391-8d6e-9d28acaedb13.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f45829ef-5821-4cd2-88d6-5787c5d6384a.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/80d8e56e-3cfd-41db-bb50-3ad3944d3c56.jpg.780x439.jpg;,【房源亮点】，可住一家人。房东刚装修过，干净整洁。房东自身有房，长期出租中。【交通出行】位于黄浦和静安交界处的江阴路上，闹中取静的繁华地段 距离人广500米【周边配套】配套设施齐全，居家生活都便利，人民广场商圈和南京西路商圈交汇处，黄浦和静安交汇处，繁华地段，拎包入住。
SH2410032589907181568,整租·上海滩新昌城 1室2厅 南,https://image1.ljcdn.com/310000-inspection/c6c937dc-64a3-43e6-953f-2d61a013e393.jpg.250x182.jpg,黄浦,人民广场,上海滩新昌城,61,1室2厅1卫,南,11000,近地铁;精装;,中楼层/25层,2020-02-09,精装修,整租,季付,11000,0,需咨询,1号线，2号线，8号线-人民广场-967m;1号线，2号线，8号线-人民广场-967m;1号线，2号线，8号线-人民广场-967m;1号线，2号线，8号线-人民广场-967m;1号线，2号线，8号线-人民广场-967m;,True,True,True,True,True,False,True,True,True,True,暂无数据,民电,自采暖,3年以内,需提前预约,随时入住,True,民水,True,https://image1.ljcdn.com/310000-inspection/ef3d4c16-e3ec-4316-bf1e-b23c874552b4.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/c6c937dc-64a3-43e6-953f-2d61a013e393.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/71b60c31-500b-4a5c-89e8-3b3cfcc32bd5.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/f7117db8-9f00-4031-952e-fb4761dc8fca.jpg.780x439.jpg;https://image1.ljcdn.com/310000-inspection/69eed875-7fc1-4abf-8a1a-b506b1e9aa40.jpg.780x439.jpg;https://image1.ljcdn.com/hdic-frame/641b6150-556d-4b1e-878f-558e7f8809e3.png.780x439.jpg;,【交通出行】小区门口100米处是地铁1号线新闸路站，延安高架，南北高架，自驾出行便利，门口有21路 64路公交车【周边配套】此房闹中取静，人民广场，雕塑公园都是好去处，南京东路，南京西路，外滩，近在咫尺间，楼下银行，超市，菜场一应俱全【小区介绍】小区是2006年上海建工集团精心打造的大型社区，小区人文素质较高，自带小区游乐场，绿化40%
